A*+OD+ID Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,Basic-CBS/(A*/SIC)+ID Runtime,ICTS 3E +ID Runtime,EPEA*+ID Runtime,Y Runtime,GridSize,NumOfObstacles,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,NumOfAgents,ObstacleDensity,PointsAtSPRatio,Sparsity,bridges
72.5081,36.919000000000004,4.9438,4.9309,7.1343,4.9309,3600,0,42.8,81,24,23.2,23.6,5,0.0,0.05888889,0.0013888888888888892,0
5.598,0.4984,6.2784,5.5959,5.6067,0.4984,3600,0,49.0,87,19,29.86667000000001,27.86667000000001,5,0.0,0.06888889,0.0013888888888888892,0
5.1259,0.2153,6.1364,4.9662,6.2897,0.2153,3600,0,40.2,82,16,21.46667,35.6,5,0.0,0.05638889,0.0013888888888888892,0
8.7544,136.0601,10.0322,9.4974,9.0874,8.7544,3600,0,33.5,74,3,35.96363,38.16364,10,0.0,0.09222222,0.0027777777777777783,0
16.0635,2.3478,12.5392,12.8126,11.0652,2.3478,3600,0,44.4,84,21,31.818179999999998,37.345459999999996,10,0.0,0.1233333,0.0027777777777777783,0
9.8837,0.3982,10.7688,11.1654,10.134,0.3982,3600,0,36.1,94,3,34.618179999999995,31.98182000000001,10,0.0,0.10138889999999999,0.0027777777777777783,0
37.7978,2.3974,34.2218,35.1863,34.513000000000005,2.3974,3600,0,52.2,106,24,37.21667,37.98333,15,0.0,0.2094444,0.004166666666666668,0
16.8139,6.8210000000000015,20.4242,21.3471,17.7937,6.8210000000000015,3600,0,42.8,71,16,35.96667,29.65,15,0.0,0.16416670000000005,0.004166666666666668,0
17.508,3.1959,20.2082,19.2038,22.941,3.1959,3600,0,41.6,79,6,32.48333,39.383340000000004,15,0.0,0.1538889,0.004166666666666668,0
35.622,5.2061,37.4447,43.2734,41.0292,5.2061,3600,0,42.3,83,3,35.41429,40.02381,20,0.0,0.2158333,0.005555555555555557,0
46.01,3.4545,47.9256,49.8288,45.9016,3.4545,3600,0,40.9,79,15,33.9,38.68095,20,0.0,0.2105556,0.005555555555555557,0
43.5301,2.0589,43.2703,47.4707,47.1431,2.0589,3600,0,44.1,90,10,35.133340000000004,38.6,20,0.0,0.20277779999999998,0.005555555555555557,0
71.7434,34.0075,69.6226,74.9605,71.2817,34.0075,3600,0,43.16,78,10,36.78154,40.01846,25,0.0,0.2688889,0.006944444444444444,0
48.9306,8.1027,47.3226,47.7701,49.2916,8.1027,3600,0,39.8,83,14,37.74769000000001,36.58461,25,0.0,0.23277779999999998,0.006944444444444444,0
45.0148,18.2125,47.4326,42.3809,42.0011,18.2125,3600,0,39.44,68,10,38.350770000000004,34.48615,25,0.0,0.2430556,0.006944444444444444,0
98.125,4.266,107.9808,96.5497,104.0892,4.266,3600,0,43.26666667,73,20,41.53978,36.48172,30,0.0,0.3125,0.008333333333333333,0
125.794,20.1199,147.0882,133.8013,132.3007,20.1199,3600,0,45.23333333,88,5,40.16129,37.88817,30,0.0,0.3002778,0.008333333333333333,0
72.8883,10.0051,77.2245,77.9654,80.5851,10.0051,3600,0,38.26666667,81,3,33.89893,38.15269,30,0.0,0.27305559999999995,0.008333333333333333,0
607.5947,34783.8121,300000.0,419.5515,368.4241,368.4241,3600,0,44.71428571,85,9,36.26032,35.5746,35,0.0,0.3372222,0.009722222222222222,0
126.5206,6.8678,124.9855,131.1296,130.2659,6.8678,3600,0,36.37142857,74,1,40.27937,36.60318,35,0.0,0.31916669999999997,0.009722222222222222,0
146.7472,9.492,142.8508,147.3473,153.4128,9.492,3600,0,40.82857143,93,10,35.29206,39.79365,35,0.0,0.33305559999999995,0.009722222222222222,0
226.4268,647.7972,300000.0,275.2167,218.8381,218.8381,3600,0,33.15,76,4,38.75854,38.40488,40,0.0,0.3208333,0.011111111111111113,0
252.8746,2649.397,187.9015,198.8432,230.7091,187.9015,3600,0,40.625,80,4,38.47317,37.90122,40,0.0,0.3563889,0.011111111111111113,0
148.1481,26.0185,140.0882,144.1867,142.406,26.0185,3600,0,38.075,106,7,38.99756,36.06463,40,0.0,0.34,0.011111111111111113,0
305.0332,300000.0,300000.0,280.3517,291.2107,280.3517,3600,0,44.28888889,88,0,37.48406,37.75072,45,0.0,0.40722220000000003,0.0125,0
281.9144,27.8745,283.3663,288.8373,286.2971,27.8745,3600,0,35.24444444,89,9,37.98261,40.05797000000001,45,0.0,0.3633333,0.0125,0
577.7823,22580.2455,300000.0,490.2368,464.3366,464.3366,3600,0,35.53333333,78,10,33.56329,37.09372000000001,45,0.0,0.36111109999999996,0.0125,0
385.659,77.5946,390.9269,400.9567,389.2025,77.5946,3600,0,40.02,84,2,39.24157,38.72,50,0.0,0.4308333,0.013888888888888888,0
611.3,234.9036,746.2041,844.4722,611.1725,234.9036,3600,0,39.46,84,4,38.33098,37.53804,50,0.0,0.4013889,0.013888888888888888,0
386.66900000000004,3884.099,69979.327,358.8164,376.1723,358.8164,3600,0,39.38,75,9,37.047059999999995,38.46902,50,0.0,0.4238889,0.013888888888888888,0
4454.5644,300000.0,300000.0,30971.6926,1718.4527,1718.4527,3600,0,41.52727273,99,10,40.461040000000004,37.85325,55,0.0,0.4905556,0.015277777777777776,0
404.9049,1332.2806,300000.0,379.214,378.74699999999996,378.74699999999996,3600,0,39.09090909,90,4,39.32987,35.64286,55,0.0,0.45694440000000003,0.015277777777777776,0
666.2308,27088.8017,300000.0,549.5343,578.5424,549.5343,3600,0,37.72727273,85,4,38.863640000000004,39.53117,55,0.0,0.4486111,0.015277777777777776,0
454.1963,77.6157,432.1307,430.4837,438.9081,77.6157,3600,0,40.21666667,96,2,37.29399,38.91639,60,0.0,0.4880556,0.016666666666666666,0
474.4126,10354.6718,11302.3212,470.7512,454.5058,454.5058,3600,0,39.08333333,96,5,40.67104000000001,37.92514,60,0.0,0.4702778,0.016666666666666666,0
1013.0322,85197.7915,300000.0,766.4712,733.0136,733.0136,3600,0,39.15,77,1,39.87869,37.24535,60,0.0,0.4611111,0.016666666666666666,0
1377.3227,190259.5164,300000.0,1206.2647,1158.7456,1158.7456,3600,0,41.32307692,84,4,38.51469,37.9627,65,0.0,0.5263889,0.01805555555555556,0
681.4424,20559.6527,300000.0,656.0433,670.3469,656.0433,3600,0,34.6,76,7,39.47319,36.78415,65,0.0,0.4719445,0.01805555555555556,0
795.9103,359.8911,1075.3981,777.0668,787.1609,359.8911,3600,0,42.4,100,6,38.30117,38.838229999999996,65,0.0,0.5152778,0.01805555555555556,0
1420.8214,300000.0,300000.0,4101.4437,4004.0936,1420.8214,3600,0,37.52857143,87,6,36.33682,39.65795,70,0.0,0.5027778,0.019444444444444445,0
3476.4191,577.4897,3557.2753,3517.5475,3592.8803,577.4897,3600,0,39.01428571,94,4,36.89417,38.29578,70,0.0,0.48527780000000004,0.019444444444444445,0
2688.6531,717.1728,2750.4214,2717.4688,2634.1703,717.1728,3600,0,37.22857143,85,3,39.95895,37.8173,70,0.0,0.5197222,0.019444444444444445,0
