GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,
Unknown,60,60,5,0,0,3125,0,42.8,81,24,23.2,23.6,0.05888889,1,72.5081,214,214,647,1,1,1,0,1,36.919,214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.94380000000001,214,214,647,1,1,1,0,1,4.93090000000007,214,214,647,1,1,1,0,1,7.13429999999994,214,214,647,1,1,1,0,
Unknown,60,60,5,0,1,3125,0,49,87,19,29.86667,27.86667,0.06888889,1,5.59799999999996,245,245,740,1,1,1,0,1,0.498399999999947,245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.27839999999992,245,245,740,1,1,1,0,1,5.59590000000003,245,245,740,1,1,1,0,1,5.60669999999982,245,245,740,1,1,1,0,
Unknown,60,60,5,0,2,3125,0,40.2,82,16,21.46667,35.6,0.05638889,1,5.1259,201,201,580,1,1,1,0,1,0.21530000000007,201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.13639999999987,201,201,580,1,1,1,0,1,4.96619999999984,201,201,580,1,1,1,0,1,6.28970000000027,201,201,580,1,1,1,0,
Unknown,60,60,10,0,0,9765625,0,33.5,74,3,35.96363,38.16364,0.09222222,1,8.75439999999981,335,335,988,1,1,1,0,1,136.0601,335,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,150,238,0,0,52,0,0,59,135,35,150,1,0,1,0,1,10.0322000000001,335,335,988,1,1,1,0,1,9.49739999999974,335,335,988,1,1,1,0,1,9.08739999999989,335,335,988,1,1,1,0,
Unknown,60,60,10,0,1,9765625,0,44.4,84,21,31.81818,37.34546,0.1233333,1,16.0634999999997,444,444,1319,1,1,1,0,1,2.34779999999955,444,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,152,294,0,0,0,0,0,1,150,54,152,2,0,1,0,1,12.5392000000002,444,444,1319,1,1,1,0,1,12.8125999999993,444,444,1319,1,1,1,0,1,11.0652,444,444,1319,1,1,1,0,
Unknown,60,60,10,0,2,9765625,0,36.1,94,3,34.61818,31.98182,0.1013889,1,9.88370000000032,361,361,1001,1,1,1,0,1,0.398199999999633,361,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10.7687999999998,361,361,1001,1,1,1,0,1,11.1653999999999,361,361,1001,1,1,1,0,1,10.134,361,361,1001,1,1,1,0,
Unknown,60,60,15,0,0,30517578125,0,52.2,106,24,37.21667,37.98333,0.2094444,1,37.7977999999994,783,949,2645,1,1,1,0,1,2.39739999999983,783,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,99,183,0,0,14,0,0,14,98,28,99,0,0,1,0,1,34.2218000000003,783,949,2645,1,1,1,0,1,35.1862999999994,783,949,2645,1,1,1,0,1,34.5129999999999,783,949,2645,1,1,1,0,
Unknown,60,60,15,0,1,30517578125,0,42.8,71,16,35.96667,29.65,0.1641667,1,16.813900000001,642,642,1921,1,1,1,0,1,6.82099999999991,642,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,662,870,0,0,454,0,0,483,632,122,662,3,0,1,0,1,20.4241999999995,642,642,1921,1,1,1,0,1,21.347099999999,642,642,1921,1,1,1,0,1,17.7937000000002,642,642,1921,1,1,1,0,
Unknown,60,60,15,0,2,30517578125,0,41.6,79,6,32.48333,39.38334,0.1538889,1,17.5079999999998,624,624,1888,1,1,1,0,1,3.1958999999988,624,2,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,230,412,0,0,42,0,0,54,215,106,230,2,0,1,0,1,20.2081999999991,624,624,1888,1,1,1,0,1,19.2037999999993,624,624,1888,1,1,1,0,1,22.9410000000007,624,624,1888,1,1,1,0,
Unknown,60,60,20,0,0,95367431640625,0,42.3,83,3,35.41429,40.02381,0.2158333,1,35.6220000000012,846,861,2552,1,1,1,0,1,5.20609999999942,846,3,5,0,2,0,0,0,3,0,0,0,2,1,0,0,0,1,178,354,1,0,1,0,0,1,176,84,178,2,0,1,0,1,37.4447,846,861,2552,1,1,1,0,1,43.2734,846,861,2552,1,1,1,0,1,41.029199999999,846,861,2552,1,1,1,0,
