GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth
Unknown,60,60,75,720,1,2.65E+52,0.2,41.25333333,96,2,41.55368,42.35579,0.425,0,300047.757,-2,195632,516669,5,1,5,7,0,300006.4559,-2,2294,2572,10,7,0,0,0,22,0,0,26,193,76,0,0,0,4,1127489,1019811,28331,0,3501217,0,0,65922,578738,145298,930464,1907,50,4,4,0,300369.2517,-2,13176,22483,22,1,22,4,0,300012.9423,-2,3865,8684,6,1,6,7,0,300008.546,-2,87959,59895,5,1,5,7
Unknown,60,60,75,720,2,2.65E+52,0.2,38.81333333,87,4,42.8407,37.38807,0.3663889,0,300053.3575,-2,83610,240378,6,1,6,5,0,300006.789,-2,1192,1338,49,0,0,0,0,79,0,0,70,82,43,0,0,0,5,1036893,871747,8936,0,4136667,0,0,17946,639811,113359,813825,562,18,5,10,0,300014.1678,-2,17784,35372,21,1,21,3,0,300358.9497,-2,4743,12079,7,1,7,5,0,300022.8939,-2,27866,26599,6,1,6,5
Unknown,60,60,80,720,0,8.27E+55,0.2,37.55,92,0,37.39537,38.11266,0.4122222,0,300035.8451,-2,370187,1211584,6,1,6,10,0,300014.2375,-2,1651,1919,24,25,0,0,0,950,0,0,41,178,85,0,0,0,6,920934,886963,29912,0,2914168,0,0,14127,467184,131641,799589,1245,34,6,6,0,300011.4496,-2,16859,28471,23,1,23,4,0,300016.8374,-2,3868,8630,9,1,9,7,0,300033.3594,-2,255276,242855,9,1,9,11
Unknown,60,60,80,720,1,8.27E+55,0.2,42.375,95,3,40.92346,40.5784,0.4411111,0,300042.9358,-2,53677,158019,5,1,5,3,0,300011.2496,-2,2496,2816,0,64,0,0,0,556,0,0,10,158,216,0,0,0,5,1553181,1534566,29642,0,3171352,0,0,4179,941113,211316,1331561,2126,143,5,1,1,18436.0284,3398,4834,9851,13,1,13,8,1,16064.6582,3398,4469,9201,5,1,5,8,0,300040.9575,-2,240076,204235,6,1,6,3
Unknown,60,60,80,720,2,8.27E+55,0.2,43.675,108,5,39.85154,40.53117,0.4377778,0,300038.0084,-2,35146,105360,5,1,5,0,0,300004.3166,-2,2225,2514,0,10,0,0,0,26,0,0,21,110,168,0,0,0,5,1191724,1144584,20009,0,2703146,0,0,11508,681286,175047,1059001,1821,63,5,3,0,300023.7019,-2,6081,12033,25,1,25,0,0,300021.6336,-2,4179,9357,8,1,8,2,0,300004.6407,-2,93571,77601,8,1,8,2
Unknown,60,60,85,720,0,2.58E+59,0.2,40.69411765,96,7,40.76608,39.98796,0.4263889,1,26175.6129,3472,69873,200026,4,1,4,13,0,300007.1599,-2,881,1055,10,10,0,0,0,52,0,0,23,103,68,0,0,0,6,594840,553265,20906,0,3015882,0,0,68292,279399,97917,506825,702,22,6,3,0,300010.7199,-2,4053,8701,2,1,2,1,1,12279.7318,3472,4117,8852,4,1,4,13,1,14032.6104,3472,31750,31101,4,1,4,13
Unknown,60,60,85,720,1,2.58E+59,0.2,38.01176471,84,0,40.02079,39.771,0.4219444,0,300051.4593,-2,191419,581185,8,1,8,19,0,300014.5839,-2,1098,1289,2,0,0,0,0,161,0,0,35,101,57,0,0,0,4,1060101,887240,17561,0,4124607,0,0,27939,550840,128284,827846,783,17,4,4,0,300021.0055,-2,12791,24545,16,1,16,10,0,300008.9797,-2,4019,8661,6,1,6,19,0,300019.223,-2,47225,44720,7,1,7,19
Unknown,60,60,85,720,2,2.58E+59,0.2,41.45882353,87,9,42.36005,40.31081,0.4383333,0,300081.5198,-2,180712,499910,6,1,6,17,0,300007.0639,-2,1413,1798,17,5,0,0,0,123,0,0,24,220,163,0,0,0,5,1207498,947672,28120,0,3382588,0,0,48982,538436,125266,873300,1118,59,5,4,0,300012.9865,-2,7100,14177,24,1,24,9,0,300021.468,-2,4820,10365,7,1,7,15,0,300016.2331,-2,80282,74801,6,1,6,2
Unknown,60,60,5,900,0,3125,0.25,46.6,68,34,26.93333,29.86667,0.06416667,1,16.0304,233,233,487,1,1,1,0,1,7.5866,233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26.5208,233,233,487,1,1,1,0,1,19.7398,233,233,487,1,1,1,0,1,22.8877,233,233,487,1,1,1,0
Unknown,60,60,5,900,1,3125,0.25,44.4,71,23,33.33333,24.26667,0.05638889,1,16.7102,222,222,468,1,1,1,0,1,8.6346,222,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,107,120,0,0,28,0,0,68,86,21,107,1,0,1,0,1,38.5785,222,222,468,1,1,1,0,1,26.595,222,222,468,1,1,1,0,1,21.143,222,222,468,1,1,1,0
