GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,
Unknown,120,120,5,0,0,3125,0,81.8,141,28,38.4,54.66667,0.02875,1,56.5294,409,409,1232,1,1,1,0,1,38.7961,409,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11.2053999999998,409,409,1232,1,1,1,0,1,10.2351000000001,409,409,1232,1,1,1,0,1,10.1608000000001,409,409,1232,1,1,1,0,
Unknown,120,120,5,0,1,3125,0,72.2,114,13,39.33333,57.33333,0.02534722,1,8.90920000000006,361,361,1088,1,1,1,0,1,0.506000000000313,361,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.99410000000034,361,361,1088,1,1,1,0,1,9.13110000000006,361,361,1088,1,1,1,0,1,10.9748,361,361,1088,1,1,1,0,
Unknown,120,120,5,0,2,3125,0,43.6,69,29,63.33333,53.06667,0.01548611,1,7.96279999999979,218,218,661,1,1,1,0,1,0.330300000000079,218,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.51949999999988,218,218,661,1,1,1,0,1,7.87119999999959,218,218,661,1,1,1,0,1,9.00260000000026,218,218,661,1,1,1,0,
Unknown,120,120,10,0,0,9765625,0,79.7,176,22,82.34545,72.87273,0.05534722,1,32.6217000000006,797,797,2401,1,1,1,0,1,1.71379999999954,797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33.9998000000005,797,797,2401,1,1,1,0,1,34.3015999999998,797,797,2401,1,1,1,0,1,32.9563000000007,797,797,2401,1,1,1,0,
Unknown,120,120,10,0,1,9765625,0,68.9,141,41,68.56364,52.54546,0.04736111,1,24.3975999999984,689,689,2077,1,1,1,0,1,58.1046999999999,689,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,89,178,0,0,0,0,0,0,89,28,89,1,0,1,0,1,25.9221999999991,689,689,2077,1,1,1,0,1,44.089899999999,689,689,2077,1,1,1,0,1,23.2615000000005,689,689,2077,1,1,1,0,
Unknown,120,120,10,0,2,9765625,0,99.5,149,14,73.12727,59.43636,0.06833334,1,30.9662000000008,995,995,2995,1,1,1,0,1,1.73580000000038,995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33.6028999999999,995,995,2995,1,1,1,0,1,32.3725000000013,995,995,2995,1,1,1,0,1,33.312899999999,995,995,2995,1,1,1,0,
Unknown,120,120,15,0,0,30517578125,0,90.8,195,36,72.71667,78.88333,0.08902778,1,109.3701,1362,1363,3959,1,1,1,0,1,8.39969999999812,1362,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,397,794,0,0,0,0,0,0,397,250,397,1,0,1,0,1,109.062699999999,1362,1363,3959,1,1,1,0,1,114.983799999998,1362,1363,3959,1,1,1,0,1,117.332200000001,1362,1363,3959,1,1,1,0,
Unknown,120,120,15,0,1,30517578125,0,73.4666666666667,163,10,67.85,66.78333,0.07201389,1,55.0957999999991,1102,1102,3302,1,1,1,0,1,5.82389999999941,1102,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,78,156,0,0,0,0,0,0,78,42,78,1,0,1,0,1,54.8518999999978,1102,1102,3302,1,1,1,0,1,54.5,1102,1102,3302,1,1,1,0,1,54.5145999999986,1102,1102,3302,1,1,1,0,
Unknown,120,120,15,0,2,30517578125,0,81.4,180,38,80.33334,71.75,0.07909722,1,82.3959000000032,1221,1221,3679,1,1,1,0,1,5.87620000000243,1221,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,298,596,0,0,0,0,0,0,298,118,298,0,0,1,0,1,103.452699999998,1221,1221,3679,1,1,1,0,1,330.064200000001,1221,1221,3679,1,1,1,0,1,330.367599999998,1221,1221,3679,1,1,1,0,
Unknown,120,120,20,0,0,95367431640625,0,64.45,144,9,69.85714,78.17619,0.08784723,1,244.8868,1289,1352,3983,1,1,1,0,1,19.9977999999974,1289,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,311,622,0,0,0,0,0,0,311,81,311,1,0,1,0,1,290.438800000004,1289,1352,3983,1,1,1,0,1,284.477599999998,1289,1352,3983,1,1,1,0,1,317.285499999998,1289,1352,3983,1,1,1,0,
Unknown,120,120,20,0,1,95367431640625,0,77.3,145,13,74.41428,56.22381,0.1025,1,322.794800000003,1546,1546,4609,1,1,1,0,1,12.450800000006,1546,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,94,188,0,0,0,0,0,0,94,54,94,0,0,1,0,1,320.244500000001,1546,1546,4609,1,1,1,0,1,325.498699999996,1546,1546,4609,1,1,1,0,1,293.285799999998,1546,1546,4609,1,1,1,0,
Unknown,120,120,20,0,2,95367431640625,0,85.35,184,4,82.12857,82.81905,0.1175694,1,522.536599999992,1707,2156,5855,1,1,1,0,1,38.0265999999974,1707,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,484,824,0,0,138,0,0,167,451,113,484,1,0,1,0,1,506.130000000005,1707,2156,5855,1,1,1,0,1,479.443100000004,1707,2156,5855,1,1,1,0,1,586.065199999997,1707,2156,5855,1,1,1,0,
Unknown,120,120,25,0,0,2.98023223876953E+17,0,82.04,193,15,78.64,76.81231,0.1370139,1,567.094600000011,2051,2081,6175,1,1,1,0,1,32.3068999999959,2051,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,256,512,0,0,0,0,0,0,256,150,256,0,0,1,0,1,590.798200000019,2051,2081,6175,1,1,1,0,1,562.666100000002,2051,2081,6175,1,1,1,0,1,560.103499999997,2051,2081,6175,1,1,1,0,
Unknown,120,120,25,0,1,2.98023223876953E+17,0,77.88,175,4,76.67693,70.3877,0.1322917,1,619.151400000002,1947,2222,6351,1,1,1,0,1,18.7543999999762,1947,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,201,402,0,0,0,0,0,0,201,114,201,0,0,1,0,1,625.633800000011,1947,2222,6351,1,1,1,0,1,562.413,1947,2222,6351,1,1,1,0,1,622.325600000011,1947,2222,6351,1,1,1,0,
