GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,
Unknown,150,150,5,0,0,3125,0,128.2,171,72,56.66667,75.06667,0.02853333,1,502.2904,641,641,1928,1,1,1,0,1,141.3032,641,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,63.0092000000004,641,641,1928,1,1,1,0,1,60.5561000000007,641,641,1928,1,1,1,0,1,60.8137999999999,641,641,1928,1,1,1,0,
Unknown,150,150,5,0,1,3125,0,63,102,15,73.46667,54.13334,0.01417778,1,63.8639999999996,315,315,950,1,1,1,0,1,0.429299999999785,315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20.0721999999987,315,315,950,1,1,1,0,1,36.7037,315,315,950,1,1,1,0,1,20.7358000000004,315,315,950,1,1,1,0,
Unknown,150,150,5,0,2,3125,0,98,142,66,72.8,76,0.02191111,1,85.6297999999988,490,490,1475,1,1,1,0,1,0.535299999999552,490,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,42.4750999999997,490,490,1475,1,1,1,0,1,51.3394999999982,490,490,1475,1,1,1,0,1,49.5095999999976,490,490,1475,1,1,1,0,
Unknown,150,150,10,0,0,9765625,0,101.1,170,20,71.69091,82.25455,0.04497778,1,163.665300000001,1011,1060,3139,1,1,1,0,1,1.26629999999932,1011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,147.751100000005,1011,1060,3139,1,1,1,0,1,138.878200000006,1011,1060,3139,1,1,1,0,1,146.807099999998,1011,1060,3139,1,1,1,0,
Unknown,150,150,10,0,1,9765625,0,82.6,156,26,80.70909,81.4,0.03697778,1,91.8571000000011,826,826,2488,1,1,1,0,1,1.10299999999552,826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,116.309499999996,826,826,2488,1,1,1,0,1,98.5714999999982,826,826,2488,1,1,1,0,1,121.692499999997,826,826,2488,1,1,1,0,
Unknown,150,150,10,0,2,9765625,0,105.7,212,49,87.98182,85.49091,0.04688889,1,170.276099999995,1057,1156,3376,1,1,1,0,1,225.568500000001,1057,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,212,424,0,0,0,0,0,0,212,88,212,1,0,1,0,1,164.776700000002,1057,1156,3376,1,1,1,0,1,156.046500000004,1057,1156,3376,1,1,1,0,1,181.181000000004,1057,1156,3376,1,1,1,0,
Unknown,150,150,15,0,0,30517578125,0,113.866666666667,197,23,94.55,95.16666,0.07546667,1,314.034,1708,1708,5111,1,1,1,0,1,9.07970000000205,1708,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,324.892300000007,1708,1708,5111,1,1,1,0,1,303.938800000004,1708,1708,5111,1,1,1,0,1,332.9182,1708,1708,5111,1,1,1,0,
Unknown,150,150,15,0,1,30517578125,0,110.933333333333,210,55,90.31667,86.73333,0.07248889,1,303.216499999995,1664,1664,4938,1,1,1,0,1,2.55210000000079,1664,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,328.225600000005,1664,1664,4938,1,1,1,0,1,311.130699999994,1664,1664,4938,1,1,1,0,1,413.5717,1664,1664,4938,1,1,1,0,
Unknown,150,150,15,0,2,30517578125,0,100.4,190,11,97.16666,87.83334,0.06675556,1,285.732700000008,1506,1506,4533,1,1,1,0,1,4.34649999999965,1506,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,262.820899999992,1506,1506,4533,1,1,1,0,1,340.025399999999,1506,1506,4533,1,1,1,0,1,279.646900000007,1506,1506,4533,1,1,1,0,
Unknown,150,150,20,0,0,95367431640625,0,102.05,205,4,88.65714,92.96667,0.08288889,1,698.594899999996,2041,2041,6108,1,1,1,0,1,45.2791999999899,2041,3,5,0,2,0,0,0,3,0,0,0,2,1,0,0,0,1,626,1251,0,0,0,0,0,0,626,284,626,4,0,1,0,1,757.8995,2041,2041,6108,1,1,1,0,1,673.512899999972,2041,2041,6108,1,1,1,0,1,711.506400000013,2041,2041,6108,1,1,1,0,
Unknown,150,150,20,0,1,95367431640625,0,80.2,209,5,95.14762,92.64286,0.07151111,1,427.104900000006,1604,1604,4833,1,1,1,0,1,2.34529999998631,1604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,442.026899999997,1604,1604,4833,1,1,1,0,1,453.930400000012,1604,1604,4833,1,1,1,0,1,411.049799999979,1604,1604,4833,1,1,1,0,
Unknown,150,150,20,0,2,95367431640625,0,102.9,211,8,85.99048,96.29523,0.08768889,1,583.508799999981,2058,2173,6418,1,1,1,0,1,26.7072000000044,2058,2,3,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,318,636,0,0,0,0,0,0,318,111,318,2,0,1,0,1,512.567300000024,2058,2173,6418,1,1,1,0,1,505.035999999993,2058,2173,6418,1,1,1,0,1,513.674100000004,2058,2173,6418,1,1,1,0,
Unknown,150,150,25,0,0,2.98023223876953E+17,0,106.16,211,25,85.69231,101.9446,0.1139556,1,1524.46860000002,2655,9435,30751,2,1,2,1,1,3724.92339999997,2655,21,25,8,0,0,0,0,0,0,0,0,2,9,0,0,0,2,36066,36674,6,0,67442,0,0,11201,28767,1947,32716,0,0,2,1,0,300015.5728,-2,2728,7913,2,1,2,0,1,1334.6311,2655,2731,7916,2,1,2,1,1,1087.0172,2655,6045,11231,2,1,2,1,
Unknown,150,150,25,0,1,2.98023223876953E+17,0,88.24,226,24,91.50769,87.14462,0.09533333,1,792.995800000033,2206,2206,6641,1,1,1,0,1,17.5187999999616,2206,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,203,406,0,0,0,0,0,0,203,83,203,0,0,1,0,1,700.440000000061,2206,2206,6641,1,1,1,0,1,690.648000000045,2206,2206,6641,1,1,1,0,1,732.986900000018,2206,2206,6641,1,1,1,0,
Unknown,150,150,25,0,2,2.98023223876953E+17,0,80.72,171,8,79.6,98.36923,0.08795556,1,733.994199999957,2018,2018,6080,1,1,1,0,1,9.79909999994561,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,659.34580000001,2018,2018,6080,1,1,1,0,1,720.262600000016,2018,2018,6080,1,1,1,0,1,716.741299999994,2018,2018,6080,1,1,1,0,
Unknown,150,150,30,0,0,9.31322574615479E+20,0,111.266666666667,220,22,99.21075,95.91183,0.1381333,1,1192.55969999998,3338,3414,10192,1,1,1,0,1,175.582399999956,3338,3,7,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,2781,3497,0,0,2025,0,0,2065,2637,233,2781,2,2,1,0,1,1176.67920000001,3338,3414,10192,1,1,1,0,1,1258.87520000001,3338,3414,10192,1,1,1,0,1,1125.36560000002,3338,3414,10192,1,1,1,0,
Unknown,150,150,30,0,1,9.31322574615479E+20,0,90.6666666666667,178,25,99.47742,87.34409,0.1150222,1,800.709499999997,2720,2720,8187,1,1,1,0,1,160.50840000005,2720,2,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2465,2721,1,0,2113,0,0,1474,2306,163,2465,2,1,1,0,1,764.675600000075,2720,2720,8187,1,1,1,0,1,818.228000000003,2720,2720,8187,1,1,1,0,1,780.172099999967,2720,2720,8187,1,1,1,0,
Unknown,150,150,30,0,2,9.31322574615479E+20,0,103.5,200,22,92.85162,90.68602,0.1310667,1,338.192599999951,3105,3105,9347,1,1,1,0,1,16.8692000000738,3105,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1044,1276,1,0,796,0,0,798,1024,71,1044,0,0,1,0,1,335.059000000008,3105,3105,9347,1,1,1,0,1,367.810199999949,3105,3105,9347,1,1,1,0,1,336.947599999956,3105,3105,9347,1,1,1,0,
Unknown,150,150,35,0,0,2.91038304567337E+24,0,93,219,9,95.66032,102.2127,0.1326222,1,386.487399999984,3255,3286,9786,1,1,1,0,1,12.142000000109,3255,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,477,892,0,0,61,0,0,61,476,201,477,1,0,1,0,1,390.035000000033,3255,3286,9786,1,1,1,0,1,393.101800000062,3255,3286,9786,1,1,1,0,1,383.111000000034,3255,3286,9786,1,1,1,0,
