GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,
Unknown,180,180,5,0,0,3125,0,92.8,140,32,91.06667,77.33334,0.01441358,1,296.519600000001,464,464,1397,1,1,1,0,1,154.9322,464,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,53.726999999999,464,464,1397,1,1,1,0,1,36.6885999999995,464,464,1397,1,1,1,0,1,47.6274000000012,464,464,1397,1,1,1,0,
Unknown,180,180,5,0,1,3125,0,137,203,89,84.26667,72,0.02104938,1,70.4343999999983,685,685,2060,1,1,1,0,1,1.00779999999941,685,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,108.657299999999,685,685,2060,1,1,1,0,1,87.7881999999991,685,685,2060,1,1,1,0,1,135.977900000002,685,685,2060,1,1,1,0,
Unknown,180,180,5,0,2,3125,0,85.6,113,50,99.06667,80.13333,0.0133642,1,85.2436000000016,428,428,1289,1,1,1,0,1,0.480200000001787,428,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,86.0269000000008,428,428,1289,1,1,1,0,1,38.0010000000002,428,428,1289,1,1,1,0,1,46.7559999999976,428,428,1289,1,1,1,0,
Unknown,180,180,10,0,0,9765625,0,111.5,192,43,78.18182,98.96364,0.03438272,1,160.511700000003,1115,1115,3355,1,1,1,0,1,9.69300000000658,1115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,164.5867,1115,1115,3355,1,1,1,0,1,168.663699999997,1115,1115,3355,1,1,1,0,1,179.932000000001,1115,1115,3355,1,1,1,0,
Unknown,180,180,10,0,1,9765625,0,133.1,208,35,102.4364,95.83636,0.04080247,1,189.558700000001,1331,1331,3999,1,1,1,0,1,1.54840000000695,1331,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,212.145700000001,1331,1331,3999,1,1,1,0,1,206.440300000002,1331,1331,3999,1,1,1,0,1,184.254699999998,1331,1331,3999,1,1,1,0,
Unknown,180,180,10,0,2,9765625,0,99.5,196,4,97.14545,106.9455,0.03077161,1,155.28360000001,995,995,2995,1,1,1,0,1,1.53849999999511,995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,160.743800000011,995,995,2995,1,1,1,0,1,173.437000000005,995,995,2995,1,1,1,0,1,169.683999999994,995,995,2995,1,1,1,0,
Unknown,180,180,15,0,0,30517578125,0,118.733333333333,246,7,106.5667,96.4,0.05450617,1,461.753599999996,1781,1781,5358,1,1,1,0,1,9.62759999999253,1781,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,437.890500000009,1781,1781,5358,1,1,1,0,1,495.940000000002,1781,1781,5358,1,1,1,0,1,479.559299999994,1781,1781,5358,1,1,1,0,
Unknown,180,180,15,0,1,30517578125,0,144.733333333333,266,39,94.83334,114.45,0.06435185,1,552.410600000003,2171,2366,6905,1,1,1,0,1,262.688099999999,2171,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,444,888,0,0,0,0,0,0,444,236,444,0,0,1,0,1,520.642900000006,2171,2366,6905,1,1,1,0,1,504.284500000009,2171,2366,6905,1,1,1,0,1,501.087800000008,2171,2366,6905,1,1,1,0,
Unknown,180,180,15,0,2,30517578125,0,123.4,265,27,109.1167,114.9833,0.05608025,1,446.508700000006,1851,1851,5416,1,1,1,0,1,3.613400000002,1851,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,466.930200000003,1851,1851,5416,1,1,1,0,1,442.6446,1851,1851,5416,1,1,1,0,1,443.815399999992,1851,1851,5416,1,1,1,0,
Unknown,180,180,20,0,0,95367431640625,0,101.45,205,24,98.81905,107.9,0.05950617,1,925.034899999999,2029,2309,6628,1,1,1,0,1,41.9004999999888,2029,2,5,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,631,987,0,0,63,0,0,190,565,108,568,1,0,1,0,1,1058.3841,2029,2309,6628,1,1,1,0,1,884.073800000013,2029,2309,6628,1,1,1,0,1,822.408200000005,2029,2309,6628,1,1,1,0,
