GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,
Unknown,90,90,5,0,0,3125,0,84.2,107,23,49.6,31.73333,0.05222222,1,311.4899,421,421,1267,1,1,1,0,1,155.4497,421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33.3732,421,421,1267,1,1,1,0,1,54.2849999999999,421,421,1267,1,1,1,0,1,58.5134000000007,421,421,1267,1,1,1,0,
Unknown,90,90,5,0,1,3125,0,60,84,33,47.46667,23.6,0.03753087,1,53.7364999999991,300,300,905,1,1,1,0,1,2.80149999999958,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,82.5614999999998,300,300,905,1,1,1,0,1,18.8045000000002,300,300,905,1,1,1,0,1,28.8518000000004,300,300,905,1,1,1,0,
Unknown,90,90,5,0,2,3125,0,66,126,15,51.06667,52.66667,0.04135802,1,145.684099999999,330,330,994,1,1,1,0,1,0.653200000000652,330,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,32.6127000000015,330,330,994,1,1,1,0,1,35.3806999999979,330,330,994,1,1,1,0,1,39.7515999999996,330,330,994,1,1,1,0,
Unknown,90,90,10,0,0,9765625,0,67.8,131,8,51.83636,56.34546,0.08148148,1,127.822500000002,678,678,2044,1,1,1,0,1,280.007399999999,678,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,85,170,0,0,0,0,0,0,85,34,85,1,0,1,0,1,100.762599999998,678,678,2044,1,1,1,0,1,102.752399999998,678,678,2044,1,1,1,0,1,123.507799999999,678,678,2044,1,1,1,0,
Unknown,90,90,10,0,1,9765625,0,66.7,141,18,55.67273,61.58182,0.08271605,1,82.9177999999956,667,667,2012,1,1,1,0,1,1.01539999999659,667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,104.844499999999,667,667,2012,1,1,1,0,1,84.0221999999994,667,667,2012,1,1,1,0,1,106.4977,667,667,2012,1,1,1,0,
Unknown,90,90,10,0,2,9765625,0,58,107,21,47.25455,53.32727,0.06444445,1,64.890999999996,580,580,1750,1,1,1,0,1,0.621000000006461,580,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,67.5921999999991,580,580,1750,1,1,1,0,1,90.9801999999981,580,580,1750,1,1,1,0,1,72.9415999999983,580,580,1750,1,1,1,0,
Unknown,90,90,15,0,0,30517578125,0,67.8,119,19,49.43333,51.6,0.1193827,1,193.2863,1017,1132,3271,1,1,1,0,1,100.644899999999,1017,3,5,0,2,0,0,0,3,0,0,0,2,1,0,0,0,1,1395,1631,0,0,1065,0,0,989,1302,152,1395,2,0,1,0,1,239.170899999997,1017,1132,3271,1,1,1,0,1,237.224399999992,1017,1132,3271,1,1,1,0,1,189.694099999993,1017,1132,3271,1,1,1,0,
Unknown,90,90,15,0,1,30517578125,0,51,114,13,57.76667,50.58333,0.0945679,1,114.465499999991,765,765,2311,1,1,1,0,1,12.4119999999966,765,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,114,228,0,0,0,0,0,0,114,37,114,1,0,1,0,1,151.334600000002,765,765,2311,1,1,1,0,1,134.497000000003,765,765,2311,1,1,1,0,1,126.465400000001,765,765,2311,1,1,1,0,
Unknown,90,90,15,0,2,30517578125,0,64.1333333333333,136,13,47.6,52.45,0.112716,1,230.53379999999,962,967,2859,1,1,1,0,1,17.4585999999981,962,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,126,252,0,0,0,0,0,0,126,44,126,1,0,1,0,1,231.942299999995,962,967,2859,1,1,1,0,1,220.324600000007,962,967,2859,1,1,1,0,1,241.543600000005,962,967,2859,1,1,1,0,
Unknown,90,90,20,0,0,95367431640625,0,74.95,119,24,65.05714,60.81429,0.1753086,1,691.936300000001,1499,1499,4502,1,1,1,0,1,30.0543000000034,1499,2,3,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,201,402,0,0,0,0,0,0,201,108,201,2,0,1,0,1,424.610700000005,1499,1499,4502,1,1,1,0,1,506.255900000004,1499,1499,4502,1,1,1,0,1,371.607999999993,1499,1499,4502,1,1,1,0,
