,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Unnamed: 85,Y,Y Success,Y Runtime,GridSize,Sparsity
0,den502d,251,211,5,25726,0,3125.0,0.4857537,113.2,204,67,66.4,47.8,0.01078152,1,65.0132,566,566,1589,1,1,1,0,1,33.5736999999999,566,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16.28,566,566,1589,1,1,1,0,1,15.7406000000001,566,566,1589,1,1,1,0,1,15.8744,566,566,1589,1,1,1,0,,ICTS 3E +ID Runtime,1,15.7406000000001,52961,0.00018358729575913347
1,ost003d,194,194,5,24422,0,3125.0,0.6489,66.4,141,9,110.0,55.2,0.00874163,1,9.20589999999993,332,332,818,1,1,1,0,1,63.3333,332,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,43,86,0,0,0,0,0,0,43,10,43,1,0,1,0,1,8.84750000000008,332,332,818,1,1,1,0,1,8.67660000000001,332,332,818,1,1,1,0,1,9.427300000000288,332,332,818,1,1,1,0,,ICTS 3E +ID Runtime,1,8.67660000000001,37636,0.00037838655970939914
2,brc202d,481,530,5,211779,0,3125.0,0.830734,97.6,338,8,245.2,268.4,0.001929942,1,25.9870000000001,488,488,1329,1,1,1,0,1,1.04950000000008,488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,22.2034999999996,488,488,1329,1,1,1,0,1,21.5767000000005,488,488,1329,1,1,1,0,1,19.9493000000002,488,488,1329,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,1.04950000000008,254930,0.00011587216982225209
3,den502d,251,211,5,25726,1,3125.0,0.4857537,99.6,180,13,65.2,96.8,0.008780045,1,13.3089,498,498,1424,1,1,1,0,1,0.70089999999982,498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14.1282999999994,498,498,1424,1,1,1,0,1,13.277700000000598,498,498,1424,1,1,1,0,1,12.771499999999799,498,498,1424,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.70089999999982,52961,0.00018358729575913347
4,ost003d,194,194,5,24422,1,3125.0,0.6489,145.8,218,75,60.133340000000004,106.1333,0.01522478,1,653.6435,731,21419,40915,2,1,2,2,1,203.6997,731,7,15,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,21416,15584,11,0,18400,0,0,2503,13736,1009,14682,0,0,1,2,1,146.086399999999,731,1083,2498,2,1,2,2,1,362.80139999999903,731,1085,2498,2,1,2,2,1,375.2611,731,14494,12700,2,1,2,2,,Basic-CBS/(A*/SIC)+ID Runtime,1,146.086399999999,37636,0.00037838655970939914
5,brc202d,481,530,5,211779,1,3125.0,0.830734,184.6,254,99,200.6667,270.2667,0.003208724,1,29.1826999999994,923,923,2553,1,1,1,0,1,26.9944000000014,923,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2436,2765,0,0,1927,0,0,1323,2281,203,2436,0,0,1,0,1,27.8059000000012,923,923,2553,1,1,1,0,1,27.676300000001003,923,923,2553,1,1,1,0,1,29.836599999998697,923,923,2553,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,26.9944000000014,254930,0.00011587216982225209
6,den502d,251,211,5,25726,2,3125.0,0.4857537,60.6,101,18,17.46667,27.8,0.005758955,1,10.4712,303,303,907,1,1,1,0,1,0.47340000000076504,303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.71559999999954,303,303,907,1,1,1,0,1,7.60879999999997,303,303,907,1,1,1,0,1,7.321800000001531,303,303,907,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.47340000000076504,52961,0.00018358729575913347
7,ost003d,194,194,5,24422,2,3125.0,0.6489,111.0,247,28,52.133340000000004,104.5333,0.01368371,1,23.3075000000008,555,628,1495,1,1,1,0,1,0.747400000000198,555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26.522300000000502,555,628,1495,1,1,1,0,1,25.153400000001103,555,628,1495,1,1,1,0,1,26.1774000000005,555,628,1495,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.747400000000198,37636,0.00037838655970939914
8,brc202d,481,530,5,211779,2,3125.0,0.830734,81.0,98,51,298.1333,304.4,0.001600439,1,9.9958000000006,405,405,1123,1,1,1,0,1,0.450000000000728,405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10.7969000000012,405,405,1123,1,1,1,0,1,12.079100000002699,405,405,1123,1,1,1,0,1,8.43269999999757,405,405,1123,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.450000000000728,254930,0.00011587216982225209
9,den502d,251,211,10,25726,0,9765625.0,0.4857537,102.4,262,3,120.6182,117.4545,0.01912728,1,61.8395000000019,1024,1024,2892,1,1,1,0,1,1.3539999999993602,1024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,55.3425999999963,1024,1024,2892,1,1,1,0,1,56.080600000001105,1024,1024,2892,1,1,1,0,1,55.810000000004905,1024,1024,2892,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,1.3539999999993602,52961,0.00036717459151826694
