GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth
kiva_0,24,55,5,714,0,3125,0.5409091,22.2,51,1,19.6,15.73333,0.08560606,1,213.1271,111,111,160,1,1,1,0,1,877.4492,111,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,77,83,0,0,4,0,0,26,75,0,77,1,0,1,0,1,69.1192,111,111,160,1,1,1,0,1,43.6162,111,111,160,1,1,1,0,1,36.1523,111,111,160,1,1,1,0
kiva_0,24,55,5,714,1,3125,0.5409091,26.2,45,11,19.6,16.66667,0.08787879,1,15.2539,131,131,201,1,1,1,0,1,0.2233,131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12.1664,131,131,201,1,1,1,0,1,65.8404,131,131,201,1,1,1,0,1,36.9599,131,131,201,1,1,1,0
kiva_0,24,55,5,714,2,3125,0.5409091,36,51,11,22.13333,18.53333,0.125,1,22.0344,180,180,263,1,1,1,0,1,0.178,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,21.4913,180,180,263,1,1,1,0,1,7.3475,180,180,263,1,1,1,0,1,48.059,180,180,263,1,1,1,0
kiva_0,24,55,5,714,3,3125,0.5409091,29,58,7,18.66667,16,0.1113636,1,182.4162,145,145,243,1,1,1,0,1,376.2993,145,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,18,26,0,0,1,0,0,2,14,4,18,1,0,1,0,1,52.8525,145,145,243,1,1,1,0,1,9.4175,145,145,243,1,1,1,0,1,58.2558,145,145,243,1,1,1,0
kiva_0,24,55,5,714,4,3125,0.5409091,23.8,42,6,13.46667,15.06667,0.08181818,1,48.0821,121,229,406,2,1,2,2,1,1.3981,121,2,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,98,68,0,0,33,0,0,50,61,0,65,2,0,1,2,1,100.7861,121,125,199,2,1,2,2,1,165.43,121,128,203,2,1,2,2,1,30.5486,121,205,249,2,1,2,2
kiva_0,24,55,5,714,5,3125,0.5409091,19.6,37,10,24.13333,20.66667,0.0780303,1,7.6581,98,98,180,1,1,1,0,1,0.2648,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13.779,98,98,180,1,1,1,0,1,1.8649,98,98,180,1,1,1,0,1,9.3103,98,98,180,1,1,1,0
kiva_0,24,55,5,714,6,3125,0.5409091,25,36,11,12.26667,20,0.09545454,1,7.9397,125,125,203,1,1,1,0,1,0.152,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18.0793,125,125,203,1,1,1,0,1,9.5328,125,125,203,1,1,1,0,1,6.4091,125,125,203,1,1,1,0
kiva_0,24,55,5,714,7,3125,0.5409091,25,49,11,22.66667,22,0.09318182,1,23.6716,125,133,222,1,1,1,0,1,0.9886,125,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,89,96,0,0,4,0,0,5,80,0,89,1,0,1,0,1,20.3233,125,133,222,1,1,1,0,1,18.5224,125,133,222,1,1,1,0,1,8.8825,125,133,222,1,1,1,0
kiva_0,24,55,5,714,8,3125,0.5409091,24.6,45,11,18.8,22.66667,0.08333334,1,78.24,127,401,756,2,1,2,4,1,211.9408,127,28,33,10,0,0,0,0,0,0,0,10,4,0,0,0,0,2,2873,2108,0,0,2375,0,0,287,1802,76,2009,5,0,2,4,1,109.1836,127,157,237,2,1,2,4,1,46.1898,127,154,227,2,1,2,4,1,19.7434,127,360,341,2,1,2,4
kiva_0,24,55,5,714,9,3125,0.5409091,35.4,57,13,20.8,24,0.1007576,1,17.779,177,177,261,1,1,1,0,1,9.3865,177,2,4,0,1,0,0,0,2,0,0,0,2,0,0,0,0,1,229,223,0,0,22,0,0,64,196,9,208,1,0,1,0,1,18.5896,177,177,261,1,1,1,0,1,23.1266,177,177,261,1,1,1,0,1,35.155,177,177,261,1,1,1,0
