,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Y,Y Success,Y Runtime,GridSize,Sparsity
0,Unknown,20,20,5,0,0,3125.0,0.0,18.0,25,10,7.866667,10.4,0.2125,1,200.5673,90,90,266,1,1,1,0,1,506.8805,90,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,32,60,0,0,2,0,0,11,30,5,32,0,0,1,0,1,40.5838,90,90,266,1,1,1,0,1,9.7406,90,90,266,1,1,1,0,1,48.7619,90,90,266,1,1,1,0,ICTS 3E +ID Runtime,1,9.7406,400,0.0125
1,Unknown,20,20,5,0,1,3125.0,0.0,12.0,24,2,10.8,7.2,0.1575,1,18.4365,60,60,186,1,1,1,0,1,0.3132,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,28.1882,60,60,186,1,1,1,0,1,42.199,60,60,186,1,1,1,0,1,38.6163,60,60,186,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.3132,400,0.0125
2,Unknown,20,20,5,0,2,3125.0,0.0,9.0,19,4,6.533333,8.933333,0.125,1,17.5975,45,45,141,1,1,1,0,1,0.1027,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,26.9274,45,45,141,1,1,1,0,1,19.8845,45,45,141,1,1,1,0,1,10.5036,45,45,141,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.1027,400,0.0125
3,Unknown,20,20,5,0,3,3125.0,0.0,14.8,20,10,8.666667,8.533334,0.16,1,12.615,74,74,225,1,1,1,0,1,0.4994,74,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,40,0,0,0,0,0,0,20,13,20,1,0,1,0,1,26.6727,74,74,225,1,1,1,0,1,172.2999,74,74,225,1,1,1,0,1,1.0271,74,74,225,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.4994,400,0.0125
4,Unknown,20,20,5,0,4,3125.0,0.0,11.6,17,5,11.33333,5.466667,0.1525,1,23.7993,58,58,178,1,1,1,0,1,0.2765,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10.662,58,58,178,1,1,1,0,1,9.7456,58,58,178,1,1,1,0,1,37.7958,58,58,178,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.2765,400,0.0125
5,Unknown,20,20,5,0,5,3125.0,0.0,15.2,28,8,10.93333,6.4,0.195,1,18.8864,76,76,223,1,1,1,0,1,1.4364,76,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,109,148,0,0,62,0,0,69,84,21,109,1,0,1,0,1,17.6875,76,76,223,1,1,1,0,1,32.1345,76,76,223,1,1,1,0,1,9.2778,76,76,223,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,1.4364,400,0.0125
6,Unknown,20,20,5,0,6,3125.0,0.0,14.2,26,3,5.2,9.6,0.1825,1,1.0848,71,71,211,1,1,1,0,1,0.1227,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,35.4166,71,71,211,1,1,1,0,1,15.6151,71,71,211,1,1,1,0,1,17.7327,71,71,211,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.1227,400,0.0125
7,Unknown,20,20,5,0,7,3125.0,0.0,11.2,18,2,8.133333,6.6666669999999995,0.145,1,18.0616,56,56,175,1,1,1,0,1,0.1031,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10.9715,56,56,175,1,1,1,0,1,1.2867,56,56,175,1,1,1,0,1,35.5362,56,56,175,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.1031,400,0.0125
8,Unknown,20,20,5,0,8,3125.0,0.0,11.0,14,7,9.2,4.533333,0.1375,1,13.0585,55,55,171,1,1,1,0,1,0.0902,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.9105,55,55,171,1,1,1,0,1,26.1162,55,55,171,1,1,1,0,1,25.5041,55,55,171,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.0902,400,0.0125
9,Unknown,20,20,5,0,9,3125.0,0.0,10.8,26,3,6.133333,7.3333330000000005,0.14,1,43.526,54,54,161,1,1,1,0,1,0.2986,54,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,17,20,0,0,5,0,0,6,16,1,17,1,0,1,0,1,36.7119,54,54,161,1,1,1,0,1,27.0028,54,54,161,1,1,1,0,1,7.6452,54,54,161,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.2986,400,0.0125
