,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Unnamed: 85,Y,Y Success,Y Runtime,GridSize,Sparsity
0,Unknown,8,8,3,0,0,125,0.0,7.0,9,4,3.0,2.666667,0.328125,1,48.3398,21,21,61,1,1,1,0,1,89.4022,21,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,13,16,0,0,4,0,0,9,8,4,13,1,0,1,0,1,1.65299999999996,21,21,61,1,1,1,0,1,2.1166000000000103,21,21,61,1,1,1,0,1,2.12939999999998,21,21,61,1,1,1,0,,Basic-CBS/(A*/SIC)+ID Runtime,1,1.65299999999996,64,0.046875
1,Unknown,8,8,3,0,1,125,0.0,5.66666666666667,8,1,2.666667,2.666667,0.28125,1,3.98199999999997,17,17,44,1,1,1,0,1,0.0803999999999974,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.2569000000000297,17,17,44,1,1,1,0,1,2.24160000000001,17,17,44,1,1,1,0,1,2.4046999999999903,17,17,44,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.0803999999999974,64,0.046875
2,Unknown,8,8,3,0,2,125,0.0,4.0,7,1,2.333333,3.0,0.234375,1,6.2038,12,12,38,1,1,1,0,1,0.0452999999999975,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.2483999999999504,12,12,38,1,1,1,0,1,2.26909999999998,12,12,38,1,1,1,0,1,2.23739999999998,12,12,38,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.0452999999999975,64,0.046875
3,Unknown,8,8,3,0,3,125,0.0,5.33333333333333,10,2,2.333333,2.666667,0.296875,1,3.86760000000004,16,16,47,1,1,1,0,1,0.0494000000001051,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.15139999999997,16,16,47,1,1,1,0,1,2.16049999999996,16,16,47,1,1,1,0,1,2.38590000000011,16,16,47,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.0494000000001051,64,0.046875
4,Unknown,8,8,3,0,4,125,0.0,5.0,7,3,1.0,4.0,0.21875,1,5.477499999999959,15,15,50,1,1,1,0,1,0.338200000000029,15,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,13,20,0,0,0,0,0,0,11,2,13,0,0,1,0,1,2.48670000000004,15,15,50,1,1,1,0,1,2.2047,15,15,50,1,1,1,0,1,2.3913,15,15,50,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.338200000000029,64,0.046875
5,Unknown,8,8,3,0,5,125,0.0,4.0,5,2,4.0,3.0,0.234375,1,3.9516000000001,12,12,36,1,1,1,0,1,0.0398999999999887,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.12120000000004,12,12,36,1,1,1,0,1,2.17680000000018,12,12,36,1,1,1,0,1,4.2998,12,12,36,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.0398999999999887,64,0.046875
6,Unknown,8,8,3,0,6,125,0.0,4.33333333333333,7,1,3.0,1.333333,0.234375,1,9.61519999999996,13,13,41,1,1,1,0,1,0.04310000000009501,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.86320000000001,13,13,41,1,1,1,0,1,3.9027000000001,13,13,41,1,1,1,0,1,2.14850000000001,13,13,41,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.04310000000009501,64,0.046875
7,Unknown,8,8,3,0,7,125,0.0,5.0,6,4,2.666667,2.333333,0.234375,1,4.02749999999992,15,15,45,1,1,1,0,1,0.042299999999841006,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.96500000000015,15,15,45,1,1,1,0,1,1.88389999999981,15,15,45,1,1,1,0,1,5.95990000000006,15,15,45,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.042299999999841006,64,0.046875
8,Unknown,8,8,3,0,8,125,0.0,6.33333333333333,8,3,2.333333,3.333333,0.328125,1,4.10349999999994,19,19,51,1,1,1,0,1,0.0525000000000091,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.98569999999995,19,19,51,1,1,1,0,1,2.13540000000012,19,19,51,1,1,1,0,1,0.658799999999928,19,19,51,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.0525000000000091,64,0.046875
9,Unknown,8,8,3,0,9,125,0.0,5.33333333333333,7,2,2.333333,2.666667,0.265625,1,3.89290000000005,16,16,50,1,1,1,0,1,0.0452999999999975,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.0516000000000103,16,16,50,1,1,1,0,1,2.05839999999989,16,16,50,1,1,1,0,1,2.25700000000006,16,16,50,1,1,1,0,,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.0452999999999975,64,0.046875
