Unnamed: 0,Unnamed: 0.1,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Y,Y Success,Y Runtime,GridSize,Sparsity,bridges
1944,1944,Unknown,110,110,15,1815,0,30517578125.0,0.15,74.8,132,22,72.78333,70.18333,0.08702479,1,152.0902,1122,1122,2677,1,1,1,0,1,114.8864,1122,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2584,2481,0,0,1685,0,0,1936,2109,300,2431,0,0,1,0,1,211.045,1122,1122,2677,1,1,1,0,1,165.2752,1122,1122,2677,1,1,1,0,1,191.2227,1122,1122,2677,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,114.8864,12100,0.0014584346135148275,144
3067,3067,Unknown,140,140,15,3920,1,30517578125.0,0.2,103.66666670000001,197,38,87.33334,85.06667,0.07387755,1,506.0638,1555,1555,3535,1,1,1,0,1,81.40629995,1555,2,4,0,1,0,0,0,2,0,0,0,2,0,0,0,0,1,1127,1137,0,0,487,0,0,424,873,158,987,2,0,1,0,1,462.1413,1555,1555,3535,1,1,1,0,1,518.1198,1555,1555,3535,1,1,1,0,1,481.6482,1555,1555,3535,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,81.40629995,19600,0.0009566326530612245,526
4883,4883,Unknown,190,190,65,7220,2,2.71e+45,0.2,128.6153846,285,9,132.1958,124.8709,0.1705263,1,9722.7246,8364,26453,65473,3,1,3,4,1,23071.5568,8364,116,152,10,13,0,0,0,7,0,0,10,22,26,0,0,0,2,205553,195748,510,0,231073,0,0,8429,140136,31209,185375,47,15,2,4,1,7781.9204,8364,8979,19800,3,1,3,4,1,7461.1678,8364,8995,19833,3,1,3,4,1,8378.3757,8364,18152,26334,3,1,3,4,ICTS 3E +ID Runtime,1,7461.1678,36100,0.0022506925207756235,1004
2956,2956,Unknown,140,140,85,980,1,2.5800000000000005e+59,0.05,99.67058824,210,2,93.93543000000001,91.95075,0.3055102,1,39388.6897,8475,80912,246332,2,1,2,3,0,300000.0,-2,163,222,14,1,0,0,0,162,0,0,0,2,72,0,0,0,2,1875699,1829450,6834,0,4534387,0,0,164535,1418854,233652,1690915,98,34,2,0,0,300000.0,-2,11578,29081,2,1,2,0,1,27237.8694,8475,11587,29090,2,1,2,3,1,28436.7141,8475,45985,63688,2,1,2,3,ICTS 3E +ID Runtime,1,27237.8694,19600,0.004564983888292159,14
4473,4473,Unknown,180,180,65,4860,0,2.71e+45,0.15,118.24615379999999,261,11,115.5869,116.4196,0.1815432,1,17401.6988,7688,18403,51874,2,1,2,2,0,300000.0,-2,157,228,9,6,0,0,0,61,0,0,4,24,58,0,0,0,3,1246529,1133315,20172,0,4297666,0,0,244334,810086,174240,1080082,97,22,3,1,0,300000.0,-2,8532,19804,2,1,2,1,1,15949.0389,7688,8534,19801,2,1,2,2,1,15906.6229,7688,13459,24752,2,1,2,2,EPEA*+ID Runtime,1,15906.6229,32400,0.002360203340595497,380
252,252,Unknown,60,60,85,720,0,2.5800000000000005e+59,0.2,40.69411765,96,7,40.76608,39.98796,0.4263889,1,26175.6129,3472,69873,200026,4,1,4,13,0,300000.0,-2,881,1055,10,10,0,0,0,52,0,0,23,103,68,0,0,0,6,594840,553265,20906,0,3015882,0,0,68292,279399,97917,506825,702,22,6,3,0,300000.0,-2,4053,8701,2,1,2,1,1,12279.7318,3472,4117,8852,4,1,4,13,1,14032.6104,3472,31750,31101,4,1,4,13,ICTS 3E +ID Runtime,1,12279.7318,3600,0.029513888888888888,106
4211,4211,Unknown,170,170,50,7225,2,8.88e+34,0.25,125.82,241,24,113.5773,114.8831,0.14820070000000002,1,3361.7955,6293,7246,15465,2,1,2,2,1,879.1349,6293,23,45,0,2,0,0,0,11,0,0,8,7,8,0,0,0,1,12327,12344,6,0,4773,0,0,678,9848,1785,11255,14,4,1,2,1,3369.9941,6293,6823,14171,2,1,2,2,1,3325.1629,6293,6825,14171,2,1,2,2,1,3289.3308,6293,7073,14416,2,1,2,2,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,879.1349,28900,0.002306805074971165,1354
2786,2786,Unknown,130,130,55,4225,2,2.780000000000001e+38,0.25,96.6,191,20,87.79091,85.02857,0.1934911,0,300000.0,-2,26651,71927,4,1,4,2,0,300000.0,-2,512,635,14,10,0,0,0,12,0,0,48,31,68,0,0,0,4,1068288,777392,4258,0,4241228,0,0,249927,651826,71342,753273,299,42,4,5,1,8943.4107,5320,5921,12164,5,1,5,7,1,13118.3264,5320,5940,12273,4,1,4,7,1,231950.7952,5320,267940,191150,4,1,4,7,Basic-CBS/(A*/SIC)+ID Runtime,1,8943.4107,16900,0.004339250493096647,825
1216,1216,Unknown,90,90,75,810,1,2.65e+52,0.1,58.4,123,2,58.59859,58.75509,0.35839509999999997,1,8275.6875,4382,8496,23444,2,1,2,2,1,23019.0202,4382,151,221,8,4,0,0,0,11,0,0,1,30,50,0,0,0,2,166699,179238,70,0,287386,0,0,3062,113269,37169,152916,101,22,2,2,0,300000.0,-2,5242,12778,2,1,2,1,1,7879.5622,4382,5245,12777,2,1,2,2,1,7997.7774,4382,6867,14389,2,1,2,2,ICTS 3E +ID Runtime,1,7879.5622,8100,0.0102880658436214,43
2420,2420,Unknown,120,120,40,3600,2,9.09e+27,0.25,85.3,181,2,77.08414,78.0183,0.17152779999999998,1,2362.3811,3416,5616,12439,2,1,2,4,1,40081.9812,3416,58,78,2,18,0,0,0,3,0,0,10,19,10,0,0,0,2,271905,112757,319,0,694688,0,0,185307,99933,5230,110361,21,1,2,4,1,2362.1135,3416,3487,7382,2,1,2,4,1,2279.7075,3416,3492,7386,2,1,2,4,1,2274.045,3416,4913,8495,2,1,2,4,EPEA*+ID Runtime,1,2274.045,14400,0.003703703703703704,718
1898,1898,Unknown,110,110,20,1210,2,95400000000000.0,0.1,74.0,126,12,68.54762,59.28095,0.11024790000000001,1,265.7907,1480,1492,3838,1,1,1,0,1,9.170900047,1480,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,254.5042,1480,1492,3838,1,1,1,0,1,291.332,1480,1492,3838,1,1,1,0,1,257.4045,1480,1492,3838,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,9.170900047,12100,0.0018365472910927454,59
2232,2232,Unknown,120,120,70,720,0,8.47e+48,0.05,77.41428571,182,2,79.23541,77.49336,0.28513890000000003,1,6670.1239,5420,6509,18141,2,1,2,1,1,1771.5526,5420,30,45,4,4,0,0,0,9,0,0,1,7,14,0,0,0,2,15826,17714,80,0,14461,0,0,6729,13394,1757,15306,19,6,2,1,1,7197.9981,5420,5995,16140,2,1,2,1,1,4867.8522,5420,5930,16006,2,1,2,1,1,1736.4654,5420,6240,16334,2,1,2,1,EPEA*+ID Runtime,1,1736.4654,14400,0.005116959064327485,9
925,925,Unknown,80,80,15,1280,1,30517578125.0,0.2,56.73333333,129,22,47.2,43.76667,0.11359369999999999,1,212.4884,851,858,1903,1,1,1,0,1,28.23589998,851,2,4,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,269,430,0,0,13,0,0,10,259,94,269,2,0,1,0,1,212.3263,851,858,1903,1,1,1,0,1,206.8315,851,858,1903,1,1,1,0,1,189.9184,851,858,1903,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,28.23589998,6400,0.0029296875,166
5876,5876,Unknown,8,8,8,9,8,390625.0,0.140625,5.125,7,3,4.444445,3.638889,0.5,1,716.1414,45,15936,47961,6,1,6,4,1,72.7258,45,48,75,3,18,0,0,0,0,0,0,17,29,1,0,0,0,3,1835,1804,88,0,2422,0,0,420,833,48,1376,15,0,3,4,1,55.431999999999995,45,94,199,6,1,6,4,1,68.2487,45,217,1056,6,1,6,4,1,391.0754,45,3247,2486,6,1,6,4,Basic-CBS/(A*/SIC)+ID Runtime,1,55.431999999999995,64,0.14545454545454545,5
4296,4296,Unknown,180,180,25,0,0,2.98e+17,0.0,106.68,229,26,96.96616,97.97539,0.08021605,1,1221.7097,2667,2667,8026,1,1,1,0,1,20.391,2667,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,170,340,0,0,0,0,0,0,170,50,170,1,0,1,0,1,1229.0888,2667,2667,8026,1,1,1,0,1,1123.6909,2667,2667,8026,1,1,1,0,1,1183.7753,2667,2667,8026,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,20.391,32400,0.0007716049382716049,0
3074,3074,Unknown,140,140,25,3920,2,2.98e+17,0.2,96.96,237,9,90.85538000000001,83.36616,0.09913265,1,782.4689,2424,2427,5451,1,1,1,0,1,309.3398,2424,5,10,0,1,0,0,0,5,0,0,0,2,3,0,0,0,1,3109,3499,0,0,1212,0,0,922,2624,697,3079,4,2,1,0,1,831.9617,2424,2427,5451,1,1,1,0,1,828.8495,2424,2427,5451,1,1,1,0,1,806.2498,2424,2427,5451,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,309.3398,19600,0.0015943877551020409,543
