,p,max_time,oracle_coverage,baseline_coverage,num_problems,subproblem_coverage
25,0.95,60000.0,0.9560249912617966,0.39237471762482135,2013.0,0.7166200629150646
26,0.95,30000.0,0.9804701153442852,0.41104605596791294,894.0,0.6944250262146103
27,0.95,10000.0,0.9910651869975533,0.41943663270480847,409.0,0.6568289059769311
28,0.95,5000.0,0.9934681929395316,0.42215665483380205,299.0,0.6371242572527088
29,0.95,1000.0,0.9949973785389724,0.4240929417730856,229.0,0.5843891995805662
20,0.9,60000.0,0.9597168822090179,0.4027015813010004,1844.0,0.7435992659909123
21,0.9,30000.0,0.9814094722125131,0.41865289751509843,851.0,0.7240693813351975
22,0.9,10000.0,0.9911744145403705,0.4267207597621133,404.0,0.6874344634743097
23,0.9,5000.0,0.9935118839566585,0.4289797611912775,297.0,0.6669433764418036
24,0.9,1000.0,0.9949973785389724,0.4307316398506293,229.0,0.6153879762320866
15,0.75,60000.0,0.9703993358965397,0.4243695541929833,1355.0,0.82005854596295
16,0.75,30000.0,0.9847955260398462,0.4345581116592135,696.0,0.8067546312478154
17,0.75,10000.0,0.9917860887801468,0.4399981559172007,376.0,0.780081265291856
18,0.75,5000.0,0.9937303390422929,0.4417500345765525,287.0,0.7625611674239776
19,0.75,1000.0,0.9950192240475358,0.44336360702595545,228.0,0.7142170569730864
10,0.5,60000.0,0.984140160782943,0.4193905306348255,726.0,0.9018918210415938
11,0.5,30000.0,0.9894923103809856,0.4235397169332903,481.0,0.8992048234882908
12,0.5,10000.0,0.9930749737853897,0.4267207597621133,317.0,0.8893524991261796
13,0.5,5000.0,0.994232785739252,0.4278733115116869,264.0,0.8836508213911219
14,0.5,1000.0,0.995128451590353,0.4291641694712093,223.0,0.8654316672492136
5,0.25,60000.0,0.9935992659909123,0.3474713014614356,293.0,0.931186648025166
6,0.25,30000.0,0.9941454037049983,0.347932322161265,268.0,0.9297448444599791
7,0.25,10000.0,0.9947570779447745,0.34940758840071917,240.0,0.9282593498776651
8,0.25,5000.0,0.9949536875218455,0.34959199668065094,231.0,0.927057846906676
9,0.25,1000.0,0.9951721426074799,0.3498686091005486,221.0,0.9221207619713387
0,0.1,60000.0,0.9950192240475358,0.19376700013830622,228.0,0.9496024117441454
1,0.1,30000.0,0.9951502970989164,0.19390530634825504,222.0,0.9462382034253758
2,0.1,10000.0,0.995281370150297,0.1948734498178968,216.0,0.9439444250262146
3,0.1,5000.0,0.995281370150297,0.19491955188787977,216.0,0.9430050681579867
4,0.1,1000.0,0.9953032156588605,0.1949656539578627,215.0,0.9386359664452989
