GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Unnamed: 85
empty-16-16,16,16,1,0,5,5.0,0.0,20.0,20,20,0.0,0.0,0.08203125,1,209.2725,20,20,61,1,1,1,0,1,145.4491,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,27.3774999999999,20,20,61,1,1,1,0,1,53.8223,20,20,61,1,1,1,0,1,113.9056,20,20,61,1,1,1,0,
empty-16-16,16,16,2,0,5,25.0,0.0,11.0,20,2,1.333333,6.0,0.08984375,1,46.0752000000002,22,22,68,1,1,1,0,1,261.1017,22,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,4.31979999999976,22,22,68,1,1,1,0,1,12.7828,22,22,68,1,1,1,0,1,8.53020000000015,22,22,68,1,1,1,0,
empty-16-16,16,16,3,0,5,125.0,0.0,10.6666666666667,20,2,4.6666669999999995,6.6666669999999995,0.1289063,1,19.0883000000003,32,32,93,1,1,1,0,1,0.538899999999558,32,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,14.9445000000005,32,32,93,1,1,1,0,1,17.0072,32,32,93,1,1,1,0,1,31.3375000000005,32,32,93,1,1,1,0,
empty-16-16,16,16,4,0,5,625.0,0.0,9.5,20,2,4.7,6.9,0.15234379999999997,1,26.6803,38,38,112,1,1,1,0,1,0.37699999999949796,38,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,17.8261000000002,38,38,112,1,1,1,0,1,36.5776000000005,38,38,112,1,1,1,0,1,9.63990000000013,38,38,112,1,1,1,0,
empty-16-16,16,16,5,0,5,3125.0,0.0,11.2,20,2,7.866667,7.3333330000000005,0.21875,1,0.9857999999994721,56,56,163,1,1,1,0,1,13.890599999999699,56,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,17.8271999999997,56,56,163,1,1,1,0,1,11.564199999999799,56,56,163,1,1,1,0,1,23.6554999999998,56,56,163,1,1,1,0,
empty-16-16,16,16,6,0,5,15625.0,0.0,10.833333333333302,20,2,8.857142,7.857142999999999,0.2578125,1,8.53939999999966,65,65,191,1,1,1,0,1,0.390299999999115,65,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,46.582200000000704,65,65,191,1,1,1,0,1,26.460800000000702,65,65,191,1,1,1,0,1,9.14390000000094,65,65,191,1,1,1,0,
empty-16-16,16,16,7,0,5,78125.0,0.0,10.2857142857143,20,2,9.285714,7.714286,0.28515630000000003,1,10.012799999998599,72,72,213,1,1,1,0,1,7.13060000000041,72,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,10.7443999999996,72,72,213,1,1,1,0,1,24.8371999999999,72,72,213,1,1,1,0,1,24.7848000000013,72,72,213,1,1,1,0,
empty-16-16,16,16,8,0,5,390625.0,0.0,9.75,20,2,9.277778,8.666667,0.30859380000000003,1,22.313099999999398,78,78,233,1,1,1,0,1,0.60989999999947,78,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,9.770899999999529,78,78,233,1,1,1,0,1,16.7716,78,78,233,1,1,1,0,1,23.607700000000502,78,78,233,1,1,1,0,
empty-16-16,16,16,9,0,5,1953125.0,0.0,10.1111111111111,20,2,9.511111,8.444445,0.3515625,1,24.999399999998804,91,91,273,1,1,1,0,1,0.477100000000064,91,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,1.79539999999906,91,91,273,1,1,1,0,1,11.5758000000005,91,91,273,1,1,1,0,1,9.136400000001231,91,91,273,1,1,1,0,
empty-16-16,16,16,10,0,5,9765625.0,0.0,10.1,20,2,9.436363,8.363636,0.37890630000000003,1,37.825999999999105,101,101,304,1,1,1,0,1,0.643699999998717,101,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,24,43,0,0,4,0,0,4,23,7,24,1,0,1,0,1,30.7410000000018,101,101,304,1,1,1,0,1,35.7633999999998,101,101,304,1,1,1,0,1,25.442300000002398,101,101,304,1,1,1,0,
empty-16-16,16,16,11,0,5,48828125.0,0.0,10.1818181818182,20,2,9.454545,8.121212,0.41015630000000003,1,26.0306999999993,112,112,332,1,1,1,0,1,0.707099999999627,112,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,24,43,0,0,4,0,0,4,23,7,24,1,0,1,0,1,46.0214000000014,112,112,332,1,1,1,0,1,35.7052999999978,112,112,332,1,1,1,0,1,42.965599999999505,112,112,332,1,1,1,0,
empty-16-16,16,16,12,0,5,244140625.0,0.0,10.4166666666667,20,2,9.666667,8.320513,0.453125,1,26.2910000000011,125,126,361,1,1,1,0,1,0.522000000000844,125,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,24,43,0,0,4,0,0,4,23,7,24,1,0,1,0,1,10.6854999999996,125,126,361,1,1,1,0,1,25.196900000002604,125,126,361,1,1,1,0,1,29.4865000000027,125,126,361,1,1,1,0,
empty-16-16,16,16,13,0,5,1220703125.0,0.0,10.538461538461501,20,2,9.384615,8.901099,0.46875,1,47.952099999998595,138,200,624,2,1,2,1,1,19.8480999999992,138,7,14,0,1,0,0,0,0,0,0,1,6,0,0,0,0,1,253,303,0,0,51,0,0,21,204,17,241,6,0,1,1,1,141.45409999999902,138,144,412,2,1,2,1,1,174.549599999998,138,141,402,2,1,2,1,1,39.6820999999982,138,178,450,2,1,2,1,
