,GridName,GridRows,GridColumns,NumOfAgents,NumOfObstacles,InstanceId,BranchingFactor,ObstacleDensity,AvgDistanceToGoal,MaxDistanceToGoal,MinDistanceToGoal,AvgStartDistances,AvgGoalDistances,PointsAtSPRatio,A*+OD+ID Success,A*+OD+ID Runtime,A*+OD+ID Solution Cost,A*+OD+ID Expanded,A*+OD+ID Generated,A*+OD+ID Max Group Size,A*+OD+ID Min Group Size,A*+OD+ID Max Group,A*+OD+ID Solution Depth,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Success,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Cost,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Expanded (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Generated (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Closed List Hits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Partial Expansions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Adoptions (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Successes (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Pruning Failures (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Expanded With Goal Cost (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Look Ahead Nodes Created (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Conflicts Bypassed With Adoption (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Semi-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Non-Cardinal Conflict Splits (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes MDDs Built (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Nodes Pushed Back (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Restarts (HL),MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group Size (HL),EPEA*/SIC Expanded,EPEA*/SIC Generated,EPEA*/SIC Reopened,EPEA*/SIC BPMX boosts,EPEA*/SIC Closed List Hits,EPEA*/SIC Reopened With Old H,EPEA*/SIC H Updated From Other Area,EPEA*/SIC Max expansion delay,EPEA*/SIC Quick Insertions,EPEA*/SIC Quick Insertions Cancelled,EPEA*/SIC Expanded Full States,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Quick Insertions Cancelled,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Max Group,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Solution Depth,Basic-CBS/(A*/SIC)+ID Success,Basic-CBS/(A*/SIC)+ID Runtime,Basic-CBS/(A*/SIC)+ID Solution Cost,Basic-CBS/(A*/SIC)+ID Expanded,Basic-CBS/(A*/SIC)+ID Generated,Basic-CBS/(A*/SIC)+ID Max Group Size,Basic-CBS/(A*/SIC)+ID Min Group Size,Basic-CBS/(A*/SIC)+ID Max Group,Basic-CBS/(A*/SIC)+ID Solution Depth,ICTS 3E +ID Success,ICTS 3E +ID Runtime,ICTS 3E +ID Solution Cost,ICTS 3E +ID Expanded,ICTS 3E +ID Generated,ICTS 3E +ID Max Group Size,ICTS 3E +ID Min Group Size,ICTS 3E +ID Max Group,ICTS 3E +ID Solution Depth,EPEA*+ID Success,EPEA*+ID Runtime,EPEA*+ID Solution Cost,EPEA*+ID Expanded,EPEA*+ID Generated,EPEA*+ID Max Group Size,EPEA*+ID Min Group Size,EPEA*+ID Max Group,EPEA*+ID Solution Depth,Y,Y Success,Y Runtime,GridSize,Sparsity
0,empty-16-16,16,16,1,0,5,5.0,0.0,20.0,20,20,0.0,0.0,0.08203125,1,209.2725,20,20,61,1,1,1,0,1,145.4491,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,27.3775,20,20,61,1,1,1,0,1,53.8223,20,20,61,1,1,1,0,1,113.9056,20,20,61,1,1,1,0,Basic-CBS/(A*/SIC)+ID Runtime,1,27.3775,256,0.00390625
1,empty-16-16,16,16,2,0,5,25.0,0.0,11.0,20,2,1.333333,6.0,0.08984375,1,46.0752,22,22,68,1,1,1,0,1,261.1017,22,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,4.3198,22,22,68,1,1,1,0,1,12.7828,22,22,68,1,1,1,0,1,8.5302,22,22,68,1,1,1,0,Basic-CBS/(A*/SIC)+ID Runtime,1,4.3198,256,0.0078125
2,empty-16-16,16,16,3,0,5,125.0,0.0,10.66666667,20,2,4.6666669999999995,6.6666669999999995,0.1289063,1,19.0883,32,32,93,1,1,1,0,1,0.5389,32,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,14.9445,32,32,93,1,1,1,0,1,17.0072,32,32,93,1,1,1,0,1,31.3375,32,32,93,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.5389,256,0.01171875
3,empty-16-16,16,16,4,0,5,625.0,0.0,9.5,20,2,4.7,6.9,0.15234379999999997,1,26.6803,38,38,112,1,1,1,0,1,0.377,38,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,17.8261,38,38,112,1,1,1,0,1,36.5776,38,38,112,1,1,1,0,1,9.6399,38,38,112,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.377,256,0.015625
4,empty-16-16,16,16,5,0,5,3125.0,0.0,11.2,20,2,7.866667,7.3333330000000005,0.21875,1,0.9858,56,56,163,1,1,1,0,1,13.8906,56,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,17.8272,56,56,163,1,1,1,0,1,11.5642,56,56,163,1,1,1,0,1,23.6555,56,56,163,1,1,1,0,A*+OD+ID Runtime,1,0.9858,256,0.01953125
5,empty-16-16,16,16,6,0,5,15625.0,0.0,10.83333333,20,2,8.857142,7.857142999999999,0.2578125,1,8.5394,65,65,191,1,1,1,0,1,0.3903,65,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,46.5822,65,65,191,1,1,1,0,1,26.4608,65,65,191,1,1,1,0,1,9.1439,65,65,191,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.3903,256,0.0234375
6,empty-16-16,16,16,7,0,5,78125.0,0.0,10.28571429,20,2,9.285714,7.714286,0.28515630000000003,1,10.0128,72,72,213,1,1,1,0,1,7.1306,72,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,10.7444,72,72,213,1,1,1,0,1,24.8372,72,72,213,1,1,1,0,1,24.7848,72,72,213,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,7.1306,256,0.02734375
7,empty-16-16,16,16,8,0,5,390625.0,0.0,9.75,20,2,9.277778,8.666667,0.30859380000000003,1,22.3131,78,78,233,1,1,1,0,1,0.6099,78,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,9.7709,78,78,233,1,1,1,0,1,16.7716,78,78,233,1,1,1,0,1,23.6077,78,78,233,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.6099,256,0.03125
8,empty-16-16,16,16,9,0,5,1953125.0,0.0,10.11111111,20,2,9.511111,8.444445,0.3515625,1,24.9994,91,91,273,1,1,1,0,1,0.4771,91,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,20,39,0,0,0,0,0,0,20,6,20,1,0,1,0,1,1.7954,91,91,273,1,1,1,0,1,11.5758,91,91,273,1,1,1,0,1,9.1364,91,91,273,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.4771,256,0.03515625
9,empty-16-16,16,16,10,0,5,9765625.0,0.0,10.1,20,2,9.436363,8.363636,0.37890630000000003,1,37.826,101,101,304,1,1,1,0,1,0.6437,101,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,24,43,0,0,4,0,0,4,23,7,24,1,0,1,0,1,30.741,101,101,304,1,1,1,0,1,35.7634,101,101,304,1,1,1,0,1,25.4423,101,101,304,1,1,1,0,MA-CBS-Global-10/(EPEA*/SIC) choosing the first conflict in CBS nodes Runtime,1,0.6437,256,0.0390625
